"Time","temperatura ESP32"
2024-05-23 18:01:56,24.8
2024-05-23 18:02:01,24.8
2024-05-23 18:02:07,24.8
2024-05-23 18:02:13,24.8
2024-05-23 18:02:18,24.8
2024-05-23 18:02:24,24.8
2024-05-23 18:02:30,24.8
2024-05-23 18:02:35,24.8
2024-05-23 18:02:41,24.8
2024-05-23 18:02:47,24.8
2024-05-23 18:02:52,24.8
2024-05-23 18:02:58,24.8
2024-05-23 18:03:04,24.8
2024-05-23 18:03:09,24.8
2024-05-23 18:03:15,24.8
2024-05-23 18:03:20,24.8
2024-05-23 18:03:26,24.8
2024-05-23 18:03:32,24.8
2024-05-23 18:03:37,24.8
2024-05-23 18:03:43,24.8
2024-05-23 18:03:49,24.8
2024-05-23 18:03:54,24.8
2024-05-23 18:04:00,24.8
2024-05-23 18:04:06,24.8
2024-05-23 18:04:11,24.8
2024-05-23 18:04:17,24.8
2024-05-23 18:04:23,24.8
2024-05-23 18:04:28,24.8
2024-05-23 18:04:34,24.8
2024-05-23 18:04:39,24.8
2024-05-23 18:04:45,24.8
2024-05-23 18:04:52,24.8
2024-05-23 18:04:57,24.8
2024-05-23 18:05:03,24.8
2024-05-23 18:05:08,24.8
2024-05-23 18:05:14,24.8
2024-05-23 18:05:20,24.8
2024-05-23 18:05:25,24.8
2024-05-23 18:05:31,24.8
2024-05-23 18:05:37,24.8
2024-05-23 18:05:42,24.8
2024-05-23 18:05:48,24.8
2024-05-23 18:05:54,24.8
2024-05-23 18:05:59,24.8
2024-05-23 18:06:05,24.8
2024-05-23 18:06:11,24.8
2024-05-23 18:06:16,24.8
2024-05-23 18:06:22,24.8
2024-05-23 18:06:28,24.8
2024-05-23 18:06:33,24.8
2024-05-23 18:06:39,24.8
2024-05-23 18:06:44,24.9
2024-05-23 18:06:50,24.9
2024-05-23 18:06:56,24.9
2024-05-23 18:07:02,24.9
2024-05-23 18:07:08,24.9
2024-05-23 18:07:13,24.9
2024-05-23 18:07:19,24.9
2024-05-23 18:07:25,24.9
2024-05-23 18:07:30,24.9
2024-05-23 18:07:36,24.9
2024-05-23 18:07:42,24.9
2024-05-23 18:07:47,24.9
2024-05-23 18:07:53,24.9
2024-05-23 18:07:59,24.9
2024-05-23 18:08:04,24.9
2024-05-23 18:08:10,24.9
2024-05-23 18:08:15,24.9
2024-05-23 18:08:21,24.9
2024-05-23 18:08:27,24.9
2024-05-23 18:08:32,24.9
2024-05-23 18:08:38,24.9
2024-05-23 18:08:44,24.9
2024-05-23 18:08:49,24.9
2024-05-23 18:08:55,24.9
2024-05-23 18:09:01,24.9
2024-05-23 18:09:07,24.9
2024-05-23 18:09:12,24.9
2024-05-23 18:09:18,24.9
2024-05-23 18:09:24,24.9
2024-05-23 18:09:29,24.9
2024-05-23 18:09:35,24.9
2024-05-23 18:09:41,24.9
2024-05-23 18:09:46,24.9
2024-05-23 18:09:52,24.9
2024-05-23 18:09:57,24.9
2024-05-23 18:10:03,24.9
2024-05-23 18:10:09,24.9
2024-05-23 18:10:14,24.9
2024-05-23 18:10:20,24.9
2024-05-23 18:10:26,24.9
2024-05-23 18:10:31,24.9
2024-05-23 18:10:37,24.9
2024-05-23 18:10:42,24.9
2024-05-23 18:10:48,24.9
2024-05-23 18:10:54,24.9
2024-05-23 18:10:59,24.9
2024-05-23 18:11:06,24.9
2024-05-23 18:11:12,24.9
2024-05-23 18:11:17,24.9
2024-05-23 18:11:23,24.9
2024-05-23 18:11:29,24.9
2024-05-23 18:11:34,24.9
2024-05-23 18:11:40,24.9
2024-05-23 18:11:45,24.9
2024-05-23 18:11:51,24.8
2024-05-23 18:11:57,24.8
2024-05-23 18:12:02,24.8
2024-05-23 18:12:08,24.8
2024-05-23 18:12:14,24.8
2024-05-23 18:12:19,24.8
2024-05-23 18:12:25,24.8
2024-05-23 18:12:31,24.8
2024-05-23 18:12:36,24.8
2024-05-23 18:12:42,24.8
2024-05-23 18:12:48,24.8
2024-05-23 18:12:53,24.8
2024-05-23 18:12:59,24.8
2024-05-23 18:13:04,24.8
2024-05-23 18:13:10,24.8
2024-05-23 18:13:16,24.8
2024-05-23 18:13:22,24.8
2024-05-23 18:13:27,24.8
2024-05-23 18:13:33,24.8
2024-05-23 18:13:39,24.8
2024-05-23 18:13:44,24.8
2024-05-23 18:13:50,24.8
2024-05-23 18:13:55,24.8
2024-05-23 18:14:01,24.8
2024-05-23 18:14:07,24.7
2024-05-23 18:14:14,24.7
2024-05-23 18:14:20,24.7
2024-05-23 18:14:25,24.7
2024-05-23 18:14:31,24.7
2024-05-23 18:14:37,24.7
2024-05-23 18:14:42,24.7
2024-05-23 18:14:48,24.7
2024-05-23 18:14:54,24.7
2024-05-23 18:14:59,24.7
2024-05-23 18:15:05,24.7
2024-05-23 18:15:11,24.7
2024-05-23 18:15:17,24.7
2024-05-23 18:15:23,24.7
2024-05-23 18:15:29,24.7
2024-05-23 18:15:34,24.7
2024-05-23 18:15:40,24.7
2024-05-23 18:15:46,24.7
2024-05-23 18:15:51,24.6
2024-05-23 18:15:57,24.6
2024-05-23 18:16:02,24.6
2024-05-23 18:16:08,24.6
2024-05-23 18:16:14,24.6
2024-05-23 18:16:19,24.6
2024-05-23 18:16:25,24.6
2024-05-23 18:16:30,24.6
2024-05-23 18:16:36,24.6
2024-05-23 18:16:42,24.6
2024-05-23 18:16:47,24.6
2024-05-23 18:16:53,24.6
2024-05-23 18:16:59,24.6
2024-05-23 18:17:04,24.6
2024-05-23 18:17:10,24.6
2024-05-23 18:17:16,24.5
2024-05-23 18:17:21,24.5
2024-05-23 18:17:27,24.5
2024-05-23 18:17:32,24.5
2024-05-23 18:17:38,24.5
2024-05-23 18:17:44,24.5
2024-05-23 18:17:49,24.5
2024-05-23 18:17:55,24.5
2024-05-23 18:18:01,24.5
2024-05-23 18:18:06,24.5
2024-05-23 18:18:12,24.5
2024-05-23 18:18:17,24.5
2024-05-23 18:18:23,24.5
2024-05-23 18:18:29,24.4
2024-05-23 18:18:34,24.4
2024-05-23 18:18:40,24.4
2024-05-23 18:18:46,24.4
2024-05-23 18:18:51,24.4
2024-05-23 18:18:57,24.4
2024-05-23 18:19:03,24.4
2024-05-23 18:19:08,24.4
2024-05-23 18:19:14,24.4
2024-05-23 18:19:19,24.4
2024-05-23 18:19:25,24.4
2024-05-23 18:19:31,24.4
2024-05-23 18:19:36,24.4
2024-05-23 18:19:42,24.4
2024-05-23 18:19:48,24.4
2024-05-23 18:19:53,24.4
2024-05-23 18:19:59,24.4
2024-05-23 18:20:05,24.4
2024-05-23 18:20:10,24.4
2024-05-23 18:20:16,24.4
2024-05-23 18:20:21,24.4
2024-05-23 18:20:29,24.4
2024-05-23 18:20:35,24.4
2024-05-23 18:20:40,24.4
2024-05-23 18:20:46,24.4
2024-05-23 18:20:51,24.4
2024-05-23 18:20:57,24.4
2024-05-23 18:21:03,24.4
2024-05-23 18:21:08,24.4
2024-05-23 18:21:14,24.4
2024-05-23 18:21:20,24.4
2024-05-23 18:21:25,24.4
2024-05-23 18:21:32,24.4
2024-05-23 18:21:38,24.4
2024-05-23 18:21:44,24.4
2024-05-23 18:21:49,24.4
2024-05-23 18:21:55,24.4
2024-05-23 18:22:00,24.4
2024-05-23 18:22:06,24.4
2024-05-23 18:22:12,24.4
2024-05-23 18:22:17,24.4
2024-05-23 18:22:23,24.4
2024-05-23 18:22:29,24.4
2024-05-23 18:22:34,24.4
2024-05-23 18:22:40,24.4
2024-05-23 18:22:45,24.4
2024-05-23 18:22:51,24.4
2024-05-23 18:22:57,24.4
2024-05-23 18:23:02,24.4
2024-05-23 18:23:08,24.4
2024-05-23 18:23:13,24.4
2024-05-23 18:23:19,24.4
2024-05-23 18:23:25,24.4
2024-05-23 18:23:30,24.3
2024-05-23 18:23:36,24.3
2024-05-23 18:23:42,24.3
2024-05-23 18:23:47,24.3
2024-05-23 18:23:53,24.3
2024-05-23 18:23:59,24.3
2024-05-23 18:24:04,24.3
2024-05-23 18:24:10,24.3
2024-05-23 18:24:15,24.3
2024-05-23 18:24:21,24.3
2024-05-23 18:24:27,24.3
2024-05-23 18:24:32,24.3
2024-05-23 18:24:38,24.3
2024-05-23 18:24:44,24.3
2024-05-23 18:24:49,24.3
2024-05-23 18:24:55,24.3
2024-05-23 18:25:01,24.3
2024-05-23 18:25:06,24.3
2024-05-23 18:25:12,24.3
2024-05-23 18:25:18,24.3
2024-05-23 18:25:23,24.3
2024-05-23 18:25:29,24.3
2024-05-23 18:25:34,24.3
2024-05-23 18:25:40,24.3
2024-05-23 18:25:46,24.3
2024-05-23 18:25:51,24.3
2024-05-23 18:25:57,24.3
2024-05-23 18:26:03,24.3
2024-05-23 18:26:08,24.3
2024-05-23 18:26:14,24.3
2024-05-23 18:26:20,24.3
2024-05-23 18:26:25,24.3
2024-05-23 18:26:31,24.3
2024-05-23 18:26:37,24.3
2024-05-23 18:26:42,24.3
2024-05-23 18:26:48,24.3
2024-05-23 18:26:53,24.3
2024-05-23 18:26:59,24.3
2024-05-23 18:27:05,24.3
2024-05-23 18:27:10,24.3
2024-05-23 18:27:16,24.3
2024-05-23 18:27:22,24.3
2024-05-23 18:27:27,24.3
2024-05-23 18:27:33,24.3
2024-05-23 18:27:39,24.3
2024-05-23 18:27:44,24.3
2024-05-23 18:27:50,24.3
2024-05-23 18:27:56,24.3
2024-05-23 18:28:01,24.3
2024-05-23 18:28:07,24.3
2024-05-23 18:28:12,24.3
2024-05-23 18:28:18,24.3
2024-05-23 18:28:24,24.3
2024-05-23 18:28:29,24.3
2024-05-23 18:28:35,24.3
2024-05-23 18:28:41,24.3
2024-05-23 18:28:46,24.3
2024-05-23 18:28:52,24.3
2024-05-23 18:28:57,24.3
2024-05-23 18:29:03,24.3
2024-05-23 18:29:09,24.3
2024-05-23 18:29:14,24.3
2024-05-23 18:29:20,24.3
2024-05-23 18:29:26,24.3
2024-05-23 18:29:31,24.3
2024-05-23 18:29:37,24.3
2024-05-23 18:29:43,24.3
2024-05-23 18:29:49,24.3
2024-05-23 18:29:55,24.3
2024-05-23 18:30:00,24.3
2024-05-23 18:30:06,24.3
2024-05-23 18:30:12,24.3
2024-05-23 18:30:18,24.3
2024-05-23 18:30:23,24.3
2024-05-23 18:30:29,24.3
2024-05-23 18:30:34,24.3
2024-05-23 18:30:40,24.3
2024-05-23 18:30:46,24.3
2024-05-23 18:30:51,24.3
2024-05-23 18:30:57,24.3
2024-05-23 18:31:03,24.3
2024-05-23 18:31:08,24.3
2024-05-23 18:31:14,24.3
2024-05-23 18:31:20,24.3
2024-05-23 18:31:25,24.3
2024-05-23 18:31:31,24.3
2024-05-23 18:31:37,24.2
2024-05-23 18:31:42,24.2
2024-05-23 18:31:48,24.2
2024-05-23 18:31:54,24.2
2024-05-23 18:32:00,24.2
2024-05-23 18:32:05,24.2
2024-05-23 18:32:11,24.2
2024-05-23 18:32:17,24.2
2024-05-23 18:32:22,24.2
2024-05-23 18:32:28,24.2
2024-05-23 18:32:34,24.2
2024-05-23 18:32:39,24.2
2024-05-23 18:32:45,24.2
2024-05-23 18:32:50,24.2
2024-05-23 18:32:56,24.2
2024-05-23 18:33:02,24.2
2024-05-23 18:33:07,24.1
2024-05-23 18:33:13,24.2
2024-05-23 18:33:18,24.1
2024-05-23 18:33:24,24.1
2024-05-23 18:33:30,24.1
2024-05-23 18:33:35,24.1
2024-05-23 18:33:41,24.1
2024-05-23 18:33:47,24.1
2024-05-23 18:33:52,24.1
2024-05-23 18:34:00,24.1
2024-05-23 18:34:06,24.1
2024-05-23 18:34:11,24.1
